Type,Title,When
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-04-11
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-04-14
Call,Follow-up call,2025-04-14
Call,Follow-up call,2025-04-14
Call,Engagement check-in,2025-04-14
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-04-17
Note,Sent the program outline and a sample cohort schedule.,2025-04-18
Call,Engagement check-in,2025-04-18
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-04-21
Meeting,Engagement review,2025-04-21
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-04-22
Call,Engagement check-in,2025-04-24
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2025-04-25
Call,Engagement check-in,2025-04-25
Call,Follow-up call,2025-04-28
Call,Engagement check-in,2025-04-28
Meeting,Scoping session,2025-04-28
Meeting,Engagement review,2025-04-28
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-04-29
Call,Follow-up call,2025-04-29
Call,Engagement check-in,2025-04-29
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-04-30
Note,Sent the program outline and a sample cohort schedule.,2025-04-30
Call,Follow-up call,2025-05-01
Meeting,Diagnostic readout,2025-05-01
Call,Engagement check-in,2025-05-02
Call,Follow-up call,2025-05-02
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-05
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-05
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-05
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-05
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-05
Call,Engagement check-in,2025-05-05
Call,Engagement check-in,2025-05-05
Call,Engagement check-in,2025-05-05
Meeting,Stakeholder alignment,2025-05-05
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-06
Call,Engagement check-in,2025-05-06
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-05-07
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-07
Meeting,Engagement review,2025-05-07
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-08
Call,Engagement check-in,2025-05-08
Meeting,Stakeholder alignment,2025-05-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-09
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2025-05-09
Call,Engagement check-in,2025-05-09
Meeting,Stakeholder alignment,2025-05-09
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-12
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2025-05-12
Call,Engagement check-in,2025-05-12
Meeting,Proposal review,2025-05-12
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-13
Call,Follow-up call,2025-05-13
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-14
Call,Engagement check-in,2025-05-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-16
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-16
Call,Discovery call,2025-05-16
Meeting,Engagement review,2025-05-16
Meeting,Engagement review,2025-05-16
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-19
Note,Sent the program outline and a sample cohort schedule.,2025-05-19
Call,Engagement check-in,2025-05-19
Meeting,Engagement review,2025-05-19
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-20
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-20
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-05-20
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-20
Call,Engagement check-in,2025-05-20
Call,Engagement check-in,2025-05-20
Call,Engagement check-in,2025-05-20
Meeting,Engagement review,2025-05-20
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-21
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-05-21
Call,Engagement check-in,2025-05-21
Meeting,Diagnostic readout,2025-05-21
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-05-22
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-23
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-23
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-23
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-23
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-05-23
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-05-26
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-05-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-05-26
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-05-26
Call,Follow-up call,2025-05-26
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-05-27
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-05-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-28
Call,Engagement check-in,2025-05-28
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-05-30
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-05-30
Meeting,Engagement review,2025-05-30
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-02
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-02
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-06-02
Call,Engagement check-in,2025-06-02
Call,Follow-up call,2025-06-02
Call,Follow-up call,2025-06-02
Meeting,Engagement review,2025-06-02
Note,Executive sponsor changed mid-engagement; re-selling the value internally.,2025-06-03
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-03
Meeting,Engagement review,2025-06-04
Call,Follow-up call,2025-06-05
Call,Engagement check-in,2025-06-05
Meeting,Diagnostic readout,2025-06-05
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-06-06
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-09
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-06-09
Call,Follow-up call,2025-06-09
Call,Follow-up call,2025-06-09
Call,Engagement check-in,2025-06-09
Call,Engagement check-in,2025-06-09
Meeting,Scoping session,2025-06-10
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-11
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-11
Meeting,Proposal review,2025-06-11
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-06-13
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2025-06-13
Call,Engagement check-in,2025-06-13
Meeting,Engagement review,2025-06-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-16
Call,Engagement check-in,2025-06-16
Call,Follow-up call,2025-06-16
Call,Follow-up call,2025-06-16
Meeting,Engagement review,2025-06-16
Call,Engagement check-in,2025-06-17
Meeting,Engagement review,2025-06-17
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-06-18
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-19
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-19
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-06-20
Meeting,Scoping session,2025-06-20
Meeting,Engagement review,2025-06-20
Note,Lost — needed delivery across timezones we do not currently staff.,2025-06-23
Note,Sent the program outline and a sample cohort schedule.,2025-06-23
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-06-23
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-06-23
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-23
Call,Engagement check-in,2025-06-23
Meeting,Engagement review,2025-06-23
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-06-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-25
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-06-25
Call,Engagement check-in,2025-06-25
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-06-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-06-26
Meeting,Scoping session,2025-06-26
Meeting,Engagement review,2025-06-27
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-06-30
Call,Engagement check-in,2025-06-30
Call,Engagement check-in,2025-06-30
Meeting,Engagement review,2025-06-30
Meeting,Engagement review,2025-06-30
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-07-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-01
Call,Engagement check-in,2025-07-01
Call,Follow-up call,2025-07-01
Call,Follow-up call,2025-07-02
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-03
Note,No decision — client paused all L&amp;D spend this quarter.,2025-07-03
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-07-03
Call,Engagement check-in,2025-07-03
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-07-04
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-04
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-07-07
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-07
Note,Executive sponsor changed mid-engagement; re-selling the value internally.,2025-07-07
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-07
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-07-07
Note,Lost on price — client went with a lower-cost training vendor.,2025-07-07
Call,Engagement check-in,2025-07-07
Call,Engagement check-in,2025-07-07
Meeting,Engagement review,2025-07-07
Meeting,Stakeholder alignment,2025-07-07
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-08
Note,Lost on price — client went with a lower-cost training vendor.,2025-07-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-09
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-09
Call,Engagement check-in,2025-07-09
Meeting,Engagement review,2025-07-09
Note,Lost — wanted consultants with deeper sector-specific experience.,2025-07-10
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-11
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-11
Call,Engagement check-in,2025-07-11
Meeting,Stakeholder alignment,2025-07-11
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-14
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-14
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-14
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-14
Call,Engagement check-in,2025-07-14
Call,Engagement check-in,2025-07-16
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-17
Call,Follow-up call,2025-07-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-18
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-18
Note,Shared two anonymised case studies from similar-stage organizations.,2025-07-21
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-21
Call,Engagement check-in,2025-07-21
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-22
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-22
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-22
Call,Discovery call,2025-07-22
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-07-23
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-24
Call,Engagement check-in,2025-07-24
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-07-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-25
Call,Engagement check-in,2025-07-25
Call,Engagement check-in,2025-07-25
Meeting,Scoping session,2025-07-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-28
Call,Engagement check-in,2025-07-28
Note,Sent the program outline and a sample cohort schedule.,2025-07-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-07-30
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-07-30
Call,Follow-up call,2025-07-31
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-08-04
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-08-04
Call,Engagement check-in,2025-08-04
Call,Follow-up call,2025-08-04
Call,Engagement check-in,2025-08-04
Call,Engagement check-in,2025-08-04
Call,Engagement check-in,2025-08-05
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-08-06
Call,Discovery call,2025-08-06
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-08-07
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-08-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-08-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-08-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-08-11
Call,Follow-up call,2025-08-11
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-08-14
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-08-15
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-08-18
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-08-18
Call,Follow-up call,2025-08-18
Meeting,Proposal review,2025-08-18
Meeting,Engagement review,2025-08-18
Note,No decision — client paused all L&amp;D spend this quarter.,2025-08-19
Call,Follow-up call,2025-08-19
Note,Lost — wanted consultants with deeper sector-specific experience.,2025-08-21
Call,Follow-up call,2025-08-22
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2025-08-25
Call,Follow-up call,2025-08-25
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-08-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-08-28
Call,Engagement check-in,2025-08-28
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-09-01
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-01
Call,Engagement check-in,2025-09-01
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-09-02
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-03
Call,Engagement check-in,2025-09-04
Call,Engagement check-in,2025-09-04
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-08
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-09-08
Call,Follow-up call,2025-09-08
Call,Follow-up call,2025-09-08
Call,Discovery call,2025-09-08
Meeting,Diagnostic readout,2025-09-08
Note,Lost on price — client went with a lower-cost training vendor.,2025-09-09
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-10
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-09-12
Call,Follow-up call,2025-09-12
Note,Lost — wanted consultants with deeper sector-specific experience.,2025-09-15
Call,Engagement check-in,2025-09-15
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-17
