Name,Website,Phone Number,City,State,Number of Employees,zia_industry,zia_company_stage,zia_org_size,zia_service_line,zia_client_health,Create Date
Hollis Family Dental,https://hollisfamilydental.example,+17648023149,Denver,CO,17,,active_client,1,organizational_design,healthy,2025-02-20
Draycott Dentistry,https://draycottdentistry.example,+18888894360,Boston,MA,6,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-04-01
Harbour Oral Surgery Associates,https://harbouroralsurgeryassociates.example,+18985295325,El Paso,TX,20,Oral Surgery,active_client,1,organizational_design,healthy,2026-03-06
Ellswood Braces & Aligners,https://ellswoodbracesaligners.example,+14253398796,Nashville,TN,14,perio,active_client,1,organizational_design,healthy,2025-04-17
Stonebridge Smile Dentistry,https://stonebridgesmiledentistry.example,+18845125411,Detroit,MI,17,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-02-26
Pinehurst Orthodontics,https://pinehurstorthodontics.example,+16987283565,Oklahoma City,OK,68,Orthodontics,active_client,4,organizational_design,healthy,2025-06-20
Everly Periodontal Specialists,https://everlyperiodontalspecialists.example,+17152653411,Portland,OR,8,Periodontics,active_client,1,organizational_design,healthy,2025-11-13
Camden Orthodontic Group,https://camdenorthodonticgroup.example,+19184753930,Las Vegas,NV,34,Orthodontics,active_client,2,organizational_design,healthy,2025-12-24
Maplewood Root Canal Specialists,https://maplewoodrootcanalspecialist.example,+15174303873,Memphis,TN,22,,at_risk,1,organizational_design,at_risk,2024-10-16
Fieldstone Dental Studio,https://fieldstonedentalstudio.example,+14664235743,Louisville,KY,17,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-10-20
Beacon Dental Collective,https://beacondentalcollective.example,+18579281414,Baltimore,MD,238,Dental Services Organization,active_client,14,organizational_design,healthy,2026-04-09
Bayview Surgical Arts,https://bayviewsurgicalarts.example,+13766622803,Milwaukee,WI,5,Oral Surgery,active_client,1,organizational_design,healthy,2026-06-30
Wynn Dental Collective,https://wynndentalcollective.example,+15868144164,Albuquerque,NM,518,Dental Services Organization,active_client,37,organizational_design,healthy,2024-10-03
Belmont Family Dentistry Group,https://belmontfamilydentistrygroup.example,+13942936667,Tucson,AZ,34,,active_client,2,organizational_design,healthy,2026-02-09
Thornbury Dental Associates,https://thornburydentalassociates.example,+13139911205,Fresno,CA,36,General Dentistry — Group,active_client,2,organizational_design,healthy,2024-10-11
Wexford Dentistry,https://wexforddentistry.example,+18347215765,Mesa,AZ,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-09-28
Lakeshore Dental Group,https://lakeshoredentalgroup.example,+16654441739,Sacramento,CA,54,General Dentistry — Group,at_risk,3,organizational_design,at_risk,2025-12-03
Brookvale Periodontics,https://brookvaleperiodontics.example,+19612271853,Atlanta,GA,18,Periodontics,active_client,1,organizational_design,healthy,2025-02-28
Thornbury Physical Therapy,https://thornburyphysicaltherapy.example,+15435907686,Kansas City,MO,21,Physical Therapy,at_risk,1,organizational_design,at_risk,2025-06-25
Summit Ridge Dental Care Group,https://summitridgedentalcaregroup.example,+19243687210,Long Beach,CA,51,General Dentistry — Group,active_client,3,organizational_design,healthy,2026-01-07
Beacon Dental Care Group,https://beacondentalcaregroup.example,+17977948896,Raleigh,NC,85,General Dentistry — Group,active_client,5,organizational_design,healthy,2026-03-15
Highpoint Smile Partners,https://highpointsmilepartners.example,+19392478192,Miami,FL,243,Dental Services Organization,active_client,27,organizational_design,healthy,2024-09-01
Brookvale Family Dental,https://brookvalefamilydental.example,+15757011117,Cleveland,OH,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-05-16
Pinehurst Sleep Medicine,https://pinehurstsleepmedicine.example,+18775611188,New Orleans,LA,17,Medical — Specialty,at_risk,1,organizational_design,at_risk,2026-03-09
Silverbrook Dental Group,https://silverbrookdentalgroup.example,+19535217889,Arlington,TX,50,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2025-01-28
Camden Children’s Dental,https://camdenchildrensdental.example,+17855637034,Bakersfield,CA,8,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-01-14
Pinehurst Orthodontic Specialists,https://pinehurstorthodonticspeciali.example,+13082778883,Tampa,FL,68,Orthodontics,active_client,4,organizational_design,healthy,2025-09-22
Bayview Sports Rehab,https://bayviewsportsrehab.example,+18219225972,Aurora,CO,15,Physical Therapy,at_risk,1,organizational_design,at_risk,2024-10-21
Wynn Dental Partners,https://wynndentalpartners.example,+12683159718,Santa Ana,CA,110,Dental Services Organization,active_client,11,organizational_design,healthy,2024-09-13
Lockhart Smile Partners,https://lockhartsmilepartners.example,+14398898877,Anaheim,CA,198,Dental Services Organization,active_client,18,organizational_design,healthy,2025-11-23
Beacon Sports Rehab,https://beaconsportsrehab.example,+14712397513,New York,NY,22,Physical Therapy,active_client,1,organizational_design,healthy,2026-06-10
Northline Kids Dental Care,https://northlinekidsdentalcare.example,+15512774595,Los Angeles,CA,18,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-03-10
Wexford Smile Dentistry,https://wexfordsmiledentistry.example,+13799165867,Chicago,IL,8,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2025-07-14
Ridgeway Dental Care Group,https://ridgewaydentalcaregroup.example,+12913478230,Houston,TX,32,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-04-01
Sinclair Family Dental,https://sinclairfamilydental.example,+18245972955,Phoenix,AZ,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-11-06
Fairmont Dental Group,https://fairmontdentalgroup.example,+14456594603,Philadelphia,PA,24,General Dentistry — Group,active_client,2,organizational_design,watchlist,2025-10-22
Clearwater Family Dental,https://clearwaterfamilydental.example,+14187986751,San Antonio,TX,10,,active_client,1,organizational_design,healthy,2025-05-01
Kingsley Dental Care Group,https://kingsleydentalcaregroup.example,+12638446956,San Diego,CA,36,General Dentistry — Group,active_client,3,organizational_design,healthy,2026-04-28
Granville Dental Associates,https://granvilledentalassociates.example,+18795389247,Dallas,TX,75,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2026-03-30
Highpoint Dermatology Group,https://highpointdermatologygroup.example,+13634959935,San Jose,CA,6,Medical — Specialty,active_client,1,organizational_design,watchlist,2024-12-07
Nortonville Dental Group,https://nortonvilledentalgroup.example,+12268557869,Austin,TX,54,,at_risk,3,organizational_design,at_risk,2025-08-10
Pinehurst Root Canal Specialists,https://pinehurstrootcanalspecialist.example,+16234712231,Jacksonville,FL,5,,at_risk,1,organizational_design,at_risk,2025-02-08
Cedar Point Smile Dentistry,https://cedarpointsmiledentistry.example,+15658309976,Fort Worth,TX,10,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-05-11
Tarrant Dental Group,https://tarrantdentalgroup.example,+14276724191,Columbus,OH,45,General Dentistry — Group,active_client,5,organizational_design,healthy,2026-05-30
Cavendish Family Dentistry Group,https://cavendishfamilydentistrygrou.example,+15764445229,Indianapolis,IN,27,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-06-14
Cavendish Dental Associates,https://cavendishdentalassociates.example,+14308153758,Charlotte,NC,60,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-06-24
Camden Orthodontic Specialists,https://camdenorthodonticspecialists.example,+14047238883,San Francisco,CA,52,DSO,active_client,4,organizational_design,watchlist,2026-02-16
Redwood Dentistry,https://redwooddentistry.example,+17528011737,Seattle,WA,5,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-05-08
Brookvale Orthodontic Specialists,https://brookvaleorthodonticspeciali.example,+17746804277,Denver,CO,9,Orthodontics,active_client,1,organizational_design,healthy,2024-10-25
Summit Ridge Dental Collective,https://summitridgedentalcollective.example,+16525118964,Boston,MA,360,Dental Services Organization,active_client,40,organizational_design,healthy,2025-04-17
Maplewood Dentistry,https://maplewooddentistry.example,+13296391134,El Paso,TX,21,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2024-10-11
Redwood Oral Health Partners,https://redwoodoralhealthpartners.example,+18916383157,Nashville,TN,333,Dental Services Organization,at_risk,37,organizational_design,at_risk,2025-05-27
Bramwell Dentistry,https://bramwelldentistry.example,+17312924373,Detroit,MI,20,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-01-26
Summit Ridge Oral & Maxillofacial Surgery,https://summitridgeoralmaxillofacial.example,+17599317310,Oklahoma City,OK,6,Oral Surgery,at_risk,1,organizational_design,at_risk,2026-03-17
Highpoint Kids Dental Care,https://highpointkidsdentalcare.example,+17654333227,Portland,OR,5,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-09-01
Maplewood Orthodontic Specialists,https://maplewoodorthodonticspeciali.example,+12684615174,Las Vegas,NV,56,Orthodontics,active_client,4,organizational_design,healthy,2026-07-02
Harbour Orthodontic Group,https://harbourorthodonticgroup.example,+19879833052,Memphis,TN,45,Orthodontics,active_client,3,organizational_design,healthy,2025-12-16
Maplewood Periodontal Specialists,https://maplewoodperiodontalspeciali.example,+18619326620,Louisville,KY,5,General Dentistry,active_client,1,organizational_design,healthy,2025-05-03
Meridian Kids Dental Care,https://meridiankidsdentalcare.example,+16327226846,Baltimore,MD,19,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-10-20
Pinehurst Dental Care,https://pinehurstdentalcare.example,+17879471982,Milwaukee,WI,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-03-24
Northline Orthodontics,https://northlineorthodontics.example,+13418228056,Albuquerque,NM,11,Orthodontics,active_client,1,organizational_design,healthy,2024-09-24
Summit Ridge Family Dental,https://summitridgefamilydental.example,+15694702092,Tucson,AZ,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-01-12
Camden Smile Dentistry,https://camdensmiledentistry.example,+18373359208,Fresno,CA,5,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2026-04-01
Everly Dentistry,https://everlydentistry.example,+19162458727,Mesa,AZ,6,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-09-04
Oakhurst Family Dental,https://oakhurstfamilydental.example,+19783548580,Sacramento,CA,16,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-03-04
Cedar Point Dentistry,https://cedarpointdentistry.example,+15525127522,Atlanta,GA,9,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-11-02
Redwood Dental Alliance,https://redwooddentalalliance.example,+17594656665,Kansas City,MO,63,Dental Services Organization,at_risk,7,organizational_design,at_risk,2024-12-23
Summit Ridge Family Dentistry Group,https://summitridgefamilydentistrygr.example,+19389881366,Long Beach,CA,40,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-04-10
Fieldstone Orthodontic Group,https://fieldstoneorthodonticgroup.example,+14888454449,Raleigh,NC,28,Orthodontics,active_client,2,organizational_design,healthy,2025-06-24
Glenwood Orthodontic Specialists,https://glenwoodorthodonticspecialis.example,+17025504107,Miami,FL,14,Orthodontics,active_client,1,organizational_design,healthy,2026-04-18
Belmont Family Dentistry Group,https://belmontfamilydentistrygroup88.example,+19899305480,Cleveland,OH,33,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-05-25
Thornbury Orthodontic Specialists,https://thornburyorthodonticspeciali.example,+19217628949,New Orleans,LA,12,Orthodontics,at_risk,1,organizational_design,at_risk,2026-01-31
Meridian Dental Care Group,https://meridiandentalcaregroup.example,+14624853678,Arlington,TX,75,General Dentistry — Group,active_client,5,organizational_design,healthy,2026-04-16
Bayview Sports Rehab,https://bayviewsportsrehab91.example,+17879336630,Bakersfield,CA,18,Physical Therapy,at_risk,1,organizational_design,at_risk,2026-06-02
Alder Creek Orthodontic Group,https://aldercreekorthodonticgroup.example,+12286385541,Tampa,FL,48,Orthodontics,active_client,4,organizational_design,healthy,2025-11-08
Northline Smile Dentistry,https://northlinesmiledentistry.example,+16419757503,Aurora,CO,10,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-12-13
Tarrant Dental Group,https://tarrantdentalgroup94.example,+14445672868,Santa Ana,CA,44,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-02-22
Westgate Dental Collective,https://westgatedentalcollective.example,+12823765189,Anaheim,CA,208,Dental Services Organization,active_client,13,organizational_design,watchlist,2025-10-05
Prescott Smile Partners,https://prescottsmilepartners96.example,+14557586067,New York,NY,224,perio,active_client,16,organizational_design,healthy,2025-09-27
Clearwater Family Dental,https://clearwaterfamilydental97.example,+19838822620,Los Angeles,CA,10,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-07-13
Fieldstone Sleep Medicine,https://fieldstonesleepmedicine.example,+16264802309,Chicago,IL,15,Medical — Specialty,active_client,1,organizational_design,healthy,2025-04-25
Maplewood Dental Alliance,https://maplewooddentalalliance.example,+12978715540,Houston,TX,105,Dental Services Organization,active_client,7,organizational_design,healthy,2025-05-14
Everly Orthodontic Specialists,https://everlyorthodonticspecialists.example,+18813418579,Phoenix,AZ,24,ortho,active_client,2,organizational_design,healthy,2026-05-30
Redwood Endodontic Associates,https://redwoodendodonticassociates.example,+13909979360,Philadelphia,PA,15,Periodontics,active_client,1,organizational_design,healthy,2024-11-03
Lakeshore Endodontic Associates,https://lakeshoreendodonticassociate.example,+12599142255,San Antonio,TX,9,Periodontics,active_client,1,organizational_design,watchlist,2025-01-14
Sinclair Family Dentistry Group,https://sinclairfamilydentistrygroup.example,+17789709821,San Diego,CA,30,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-12-28
Summit Ridge Dentistry,https://summitridgedentistry.example,+15985028189,Dallas,TX,8,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2025-11-08
Windsor Physical Therapy,https://windsorphysicaltherapy.example,+13639271439,San Jose,CA,5,Physical Therapy,active_client,1,organizational_design,healthy,2025-08-13
Granville Dental Care Group,https://granvilledentalcaregroup.example,+16192278798,Austin,TX,70,General Dentistry — Group,active_client,5,organizational_design,healthy,2025-11-26
Northline Oral & Maxillofacial Surgery,https://northlineoralmaxillofacialsu.example,+18957084795,Jacksonville,FL,9,Oral Surgery,active_client,1,organizational_design,healthy,2025-11-25
Cavendish Periodontics,https://cavendishperiodontics.example,+12294767885,Fort Worth,TX,11,Periodontics,at_risk,1,organizational_design,at_risk,2026-08-06
Stonebridge Braces & Aligners,https://stonebridgebracesaligners.example,+14145791803,Columbus,OH,51,Orthodontics,active_client,3,organizational_design,healthy,2026-04-19
Westgate Periodontal Specialists,https://westgateperiodontalspecialis.example,+19228106915,Indianapolis,IN,8,Periodontics,active_client,1,organizational_design,watchlist,2026-06-02
Beacon Family Dentistry Group,https://beaconfamilydentistrygroup.example,+13389367198,Charlotte,NC,22,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-12-31
Maplewood Dentistry,https://maplewooddentistry112.example,+12354993154,San Francisco,CA,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-01-19
Cedar Point Dental Collective,https://cedarpointdentalcollective.example,+16163051106,Seattle,WA,234,Dental Services Organization,active_client,18,organizational_design,healthy,2026-01-13
Tarrant Dental Care Group,https://tarrantdentalcaregroup.example,+13232174743,Denver,CO,36,General Dentistry — Group,active_client,3,organizational_design,watchlist,2026-04-29
Cedar Point Kids Dental Care,https://cedarpointkidsdentalcare.example,+18813517895,Boston,MA,10,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-04-02
Bayview Dental Care,https://bayviewdentalcare.example,+14749229359,El Paso,TX,20,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-05-27
Brookvale Periodontics,https://brookvaleperiodontics117.example,+18018005237,Nashville,TN,9,Periodontics,active_client,1,organizational_design,healthy,2026-08-01
Highpoint Oral & Maxillofacial Surgery,https://highpointoralmaxillofacialsu.example,+12689018493,Detroit,MI,10,Oral Surgery,active_client,1,organizational_design,healthy,2024-10-05
Cedar Point Dentistry,https://cedarpointdentistry119.example,+13876479787,Oklahoma City,OK,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-03-06
Prescott Orthodontics,https://prescottorthodontics.example,+18547885984,Portland,OR,30,Orthodontics,at_risk,3,organizational_design,at_risk,2025-07-26
Sinclair Dental Collective,https://sinclairdentalcollective.example,+17229867919,Las Vegas,NV,266,Dental Services Organization,active_client,19,organizational_design,healthy,2026-03-13
Wexford Braces & Aligners,https://wexfordbracesaligners.example,+15672221587,Memphis,TN,36,Orthodontics,active_client,3,organizational_design,healthy,2025-05-19
Brookvale Dental Care Group,https://brookvaledentalcaregroup.example,+13805266711,Louisville,KY,60,General Dentistry — Group,active_client,4,organizational_design,healthy,2025-08-28
Bayview ENT Associates,https://bayviewentassociates.example,+14096059108,Baltimore,MD,20,Medical — Specialty,active_client,1,organizational_design,healthy,2026-04-25
Fairmont Surgical Arts,https://fairmontsurgicalarts.example,+12294932053,Milwaukee,WI,11,Oral Surgery,active_client,1,organizational_design,healthy,2025-10-09
Bayview Family Dental,https://bayviewfamilydental.example,+16184826320,Albuquerque,NM,16,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-11-30
Sinclair Dental Studio,https://sinclairdentalstudio.example,+13857533548,Tucson,AZ,5,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2026-04-30
Cedar Point Dental Care Group,https://cedarpointdentalcaregroup.example,+14847939689,Fresno,CA,24,perio,active_client,2,organizational_design,watchlist,2025-07-06
Ellswood Smile Dentistry,https://ellswoodsmiledentistry.example,+15483829125,Mesa,AZ,11,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-07-06
Glenwood Braces & Aligners,https://glenwoodbracesaligners.example,+14787221027,Sacramento,CA,40,Orthodontics,active_client,4,organizational_design,healthy,2026-01-08
Bramwell Dentistry,https://bramwelldentistry131.example,+14996018008,Atlanta,GA,14,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-11-08
Belmont Dental Alliance,https://belmontdentalalliance.example,+19646408843,Kansas City,MO,315,Dental Services Organization,active_client,35,organizational_design,watchlist,2025-06-23
Hollis Physical Therapy,https://hollisphysicaltherapy.example,+16103142159,Long Beach,CA,18,Physical Therapy,active_client,1,organizational_design,healthy,2026-07-23
Glenwood Oral Health Partners,https://glenwoodoralhealthpartners.example,+19027016834,Raleigh,NC,60,Dental Services Organization,active_client,5,organizational_design,healthy,2024-08-17
Cavendish Endodontic Associates,https://cavendishendodonticassociate.example,+18684002546,Miami,FL,7,Periodontics,active_client,1,organizational_design,healthy,2025-01-14
Highpoint Dental Partners,https://highpointdentalpartners.example,+18849735251,Cleveland,OH,78,Dental Services Organization,active_client,6,organizational_design,healthy,2024-09-23
Meridian Dental Care Group,https://meridiandentalcaregroup137.example,+16118297090,New Orleans,LA,75,General Dentistry — Group,active_client,5,organizational_design,watchlist,2024-08-24
Wexford Dental Group,https://wexforddentalgroup.example,+16237807276,Arlington,TX,27,General Dentistry — Group,active_client,3,organizational_design,healthy,2026-07-19
Westgate Surgical Arts,https://westgatesurgicalarts.example,+15136444640,Bakersfield,CA,22,Oral Surgery,active_client,1,organizational_design,healthy,2025-10-13
Lakeshore Dentistry,https://lakeshoredentistry.example,+12199095329,Tampa,FL,6,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-12-23
Pinehurst Dental Alliance,https://pinehurstdentalalliance.example,+14994538978,Aurora,CO,180,Dental Services Organization,active_client,12,organizational_design,healthy,2024-08-09
Glenwood Dental Care,https://glenwooddentalcare.example,+12699192026,Santa Ana,CA,8,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-12-10
Nortonville Dental Care Group,https://nortonvilledentalcaregroup.example,+14684484491,Anaheim,CA,51,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-02-04
Bayview Dental Studio,https://bayviewdentalstudio.example,+14377666375,New York,NY,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-01-09
Silverbrook Rehab Associates,https://silverbrookrehabassociates.example,+17424752431,Los Angeles,CA,15,,active_client,1,organizational_design,healthy,2026-04-07
Wynn Orthodontics,https://wynnorthodontics.example,+12938549021,Chicago,IL,8,Orthodontics,at_risk,1,organizational_design,at_risk,2024-10-25
Northline Smile Partners,https://northlinesmilepartners.example,+17563991643,Houston,TX,512,Dental Services Organization,active_client,32,organizational_design,healthy,2025-04-07
Alder Creek Dental Studio,https://aldercreekdentalstudio.example,+12083797425,Phoenix,AZ,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-09-26
Fairmont Orthodontic Group,https://fairmontorthodonticgroup.example,+19785716425,Philadelphia,PA,33,Orthodontics,active_client,3,organizational_design,healthy,2025-06-23
Cavendish Dental Group,https://cavendishdentalgroup.example,+18999026970,San Antonio,TX,24,General Dentistry — Group,active_client,2,organizational_design,healthy,2024-08-30
Meridian Smile Dentistry,https://meridiansmiledentistry.example,+14096065148,San Diego,CA,18,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-05-15
Thornbury Orthodontic Specialists,https://thornburyorthodonticspeciali152.example,+12765505295,Dallas,TX,60,Orthodontics,active_client,4,organizational_design,healthy,2024-10-15
Maplewood Dental Care,https://maplewooddentalcare.example,+19389481912,San Jose,CA,19,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-03-01
Summit Ridge Dental Alliance,https://summitridgedentalalliance.example,+18745278141,Austin,TX,204,Dental Services Organization,active_client,12,organizational_design,healthy,2025-08-19
Pinehurst Movement Clinic,https://pinehurstmovementclinic.example,+17535977033,Jacksonville,FL,16,,active_client,1,organizational_design,healthy,2025-03-30
Lakeshore Dental Collective,https://lakeshoredentalcollective.example,+19005658623,Fort Worth,TX,240,Dental Services Organization,at_risk,16,organizational_design,at_risk,2025-08-09
Hollis Kids Dental Care,https://holliskidsdentalcare.example,+18077486147,Columbus,OH,13,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-12-01
Summit Ridge Dental Group,https://summitridgedentalgroup.example,+16552525099,Indianapolis,IN,85,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2025-12-09
Highpoint Dental Partners,https://highpointdentalpartners159.example,+17687707198,Charlotte,NC,40,Dental Services Organization,active_client,4,organizational_design,healthy,2026-06-04
Wynn Dental Alliance,https://wynndentalalliance.example,+19594359069,San Francisco,CA,336,Dental Services Organization,active_client,21,organizational_design,healthy,2024-10-12
Prescott Specialty Care Partners,https://prescottspecialtycarepartner.example,+16528692004,Seattle,WA,9,Medical — Specialty,active_client,1,organizational_design,healthy,2024-08-23
Maplewood Smile Partners,https://maplewoodsmilepartners.example,+12284542000,Denver,CO,272,Dental Services Organization,active_client,17,organizational_design,watchlist,2026-04-28
Westgate Oral Health Partners,https://westgateoralhealthpartners.example,+13462897462,Boston,MA,176,Dental Services Organization,active_client,11,organizational_design,healthy,2025-12-04
Belmont Dentistry,https://belmontdentistry.example,+18779765866,El Paso,TX,12,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-05-27
Cavendish Dental Care Group,https://cavendishdentalcaregroup.example,+16784489848,Nashville,TN,52,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-07-13
Bramwell Dental Collective,https://bramwelldentalcollective.example,+16477211021,Detroit,MI,684,Dental Services Organization,active_client,38,organizational_design,healthy,2025-07-10
Maplewood Smile Dentistry,https://maplewoodsmiledentistry.example,+15782329364,Oklahoma City,OK,11,ortho,active_client,1,organizational_design,healthy,2025-02-22
Ellswood Dental Alliance,https://ellswooddentalalliance.example,+17878932643,Portland,OR,504,Dental Services Organization,active_client,42,organizational_design,healthy,2025-08-18
Wexford Pediatric Dentistry,https://wexfordpediatricdentistry.example,+15918653147,Las Vegas,NV,15,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-02-25
Brookvale Dental Care Group,https://brookvaledentalcaregroup170.example,+19525821276,Memphis,TN,60,General Dentistry — Group,active_client,4,organizational_design,healthy,2025-04-20
Pinehurst Dental Group,https://pinehurstdentalgroup.example,+13133874796,Louisville,KY,33,General Dentistry — Group,at_risk,3,organizational_design,at_risk,2025-11-30
Foxfield Dental Group,https://foxfielddentalgroup.example,+12245418942,Baltimore,MD,33,General Dentistry — Group,active_client,3,organizational_design,watchlist,2025-05-25
Redwood Oral Health Partners,https://redwoodoralhealthpartners173.example,+19312725592,Milwaukee,WI,231,Dental Services Organization,active_client,21,organizational_design,watchlist,2025-02-03
Tarrant Family Dentistry Group,https://tarrantfamilydentistrygroup.example,+12969431368,Albuquerque,NM,51,General Dentistry — Group,active_client,3,organizational_design,healthy,2026-01-31
Ridgeway Dental Care,https://ridgewaydentalcare.example,+19642115968,Tucson,AZ,18,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2024-08-19
Oakhurst Braces & Aligners,https://oakhurstbracesaligners.example,+12848253089,Fresno,CA,64,Orthodontics,active_client,4,organizational_design,healthy,2025-01-05
Windsor Dental Associates,https://windsordentalassociates.example,+16746202019,Mesa,AZ,33,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-05-05
Nortonville Oral Health Partners,https://nortonvilleoralhealthpartner.example,+13095177915,Sacramento,CA,170,Dental Services Organization,active_client,10,organizational_design,healthy,2026-01-27
