Deal Name,Amount,Close Date,Associated Company,zia_deal_type,zia_service_type,zia_seats_committed,zia_hours_per_week,zia_expected_launch_date,zia_primary_challenge
Northline Family Dentistry Group — Summit 2 seats,75446,2026-08-29,northlinefamilydentistrygrou7152.com,Summit,Claims & AR Follow-up;Revenue Cycle / Billing,2,33,,
Ashford Dental Collective — Core embed,21200,2025-01-16,ashforddentalcollective2306.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,34,2025-01-30,
Lockhart Dentistry — Momentum embed,20784,2026-06-01,lockhartdentistry9262.com,Momentum,Practice Marketing;Recall & Reactivation,1,25,2026-06-29,
Fairmont Periodontics — Summit embed,24006,2026-11-21,fairmontperiodontics.com,Summit,Office Management;Claims & AR Follow-up,1,21,,
Brookvale Smile Partners — Core embed,18082,2025-05-06,brookvalesmilepartners5080.com,Core,Patient Scheduling;Records & Charting Support,1,29,2025-05-14,
Lockhart Family Dentistry Group — Core embed,13717,2026-11-05,lockhartfamilydentistrygroup9785.com,Core,Records & Charting Support;Front Office / Patient Comms,1,22,,
Granville Dental Care — Momentum embed,27435,2025-10-07,granvilledentalcare3638.com,Momentum,Claims & AR Follow-up,1,33,2025-10-17,
Fairmont Dental Associates — Momentum embed,26604,2025-06-13,fairmontdentalassociates7140.com,Momentum,Insurance Verification,1,32,2025-06-26,
Windsor Surgical Arts — Core embed,12470,2026-09-03,windsorsurgicalarts7014.com,Core,Insurance Verification;Recall & Reactivation,1,20,,
Beacon Periodontal Specialists — Summit embed,34294,2026-11-26,beaconperiodontalspecialists5421.com,Summit,Operations Leadership;Claims & AR Follow-up,1,30,,Rate
Lockhart Orthodontic Specialists — Momentum embed,25772,2026-09-01,lockhartorthodonticspecialis.com,Momentum,Treatment Coordination;Patient Scheduling,1,31,,
Lockhart Dental Group — Summit 2 seats,45725,2025-04-18,lockhartdentalgroup.com,Summit,Office Management,2,20,,
Ellswood Surgical Arts — Core 2 seats,37411,2026-11-09,ellswoodsurgicalarts6795.com,Core,Recall & Reactivation,2,30,,
Bayview Dental Collective — Momentum embed,21615,2025-06-11,bayviewdentalcollective7752.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,26,2025-06-18,
Westgate Sports Rehab — Core embed,19329,2025-08-21,westgatesportsrehab.com,Core,Records & Charting Support;Insurance Verification,1,31,2025-09-08,
Ridgeway Orthodontic Specialists — Core embed,15588,2026-09-30,ridgewayorthodonticspecialis.com,Core,Patient Scheduling;Recall & Reactivation,1,25,,
Ellswood Orthodontic Specialists — Core embed,17459,2026-06-22,ellswoodorthodonticspecialis.com,Core,Recall & Reactivation,1,28,2026-07-05,
Silverbrook Periodontics — Momentum embed,28266,2025-03-13,silverbrookperiodontics7787.com,Momentum,Insurance Verification;Treatment Coordination,1,34,,
Stonebridge Pediatric Dentistry — Core embed,18706,2025-11-09,stonebridgepediatricdentistr5874.com,Core,Front Office / Patient Comms;Patient Scheduling,1,30,2025-11-29,
Wynn Dentistry — Momentum embed,14964,2026-09-08,wynndentistry7102.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,18,,Client paused decision
Cedar Point Dental Care Group — Momentum embed,29929,2026-10-15,cedarpointdentalcaregroup9332.com,Momentum,Practice Marketing;Claims & AR Follow-up,1,36,,
Beacon Dental Care — Momentum embed,17459,2026-11-20,beacondentalcare7035.com,Momentum,Recall & Reactivation;Insurance Verification,1,21,,
Bayview Dental Care — Momentum embed,21615,2026-11-18,bayviewdentalcare567.com,Momentum,Insurance Verification;Practice Marketing,1,26,,
Cedar Point Dental Studio — Core embed,11847,2026-01-29,cedarpointdentalstudio4440.com,Core,Insurance Verification,1,19,,Practice software gap
Lakeshore Dentistry — Summit embed,32007,2026-12-03,lakeshoredentistry.com,Summit,Revenue Cycle / Billing;Office Management,1,28,,
Northline Dental Associates — Core embed,14341,2026-09-06,northlinedentalassociates1434.com,Core,Insurance Verification;Records & Charting Support,1,23,,
Stonebridge Dentistry — Core embed,11223,2026-09-01,stonebridgedentistry.com,Core,Insurance Verification,1,18,,
Draycott Dermatology Group — Momentum embed,21615,2026-10-30,draycottdermatologygroup5921.com,Momentum,Treatment Coordination;Claims & AR Follow-up,1,26,,Communication style
Fieldstone Physical Therapy — Momentum 2 seats,46556,2025-11-14,fieldstonephysicaltherapy.com,Momentum,Recall & Reactivation;Treatment Coordination,2,28,2025-11-21,
Ellswood Dental Studio — Momentum 2 seats,48219,2025-05-01,ellswooddentalstudio7293.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,2,29,2025-05-22,
Everly Dental Associates — Core embed,18082,2026-05-23,everlydentalassociates.com,Core,Front Office / Patient Comms,1,29,2026-06-10,
Fairmont Dental Group — Summit embed,42295,2026-08-28,fairmontdentalgroup5457.com,Summit,Office Management,1,37,,Practice software gap
Wexford Dental Associates — Core embed,16212,2025-04-01,wexforddentalassociates7004.com,Core,Insurance Verification,1,26,2025-04-16,
Cedar Point Periodontics — Momentum embed,25772,2026-08-15,cedarpointperiodontics.com,Momentum,Treatment Coordination,1,31,,
Harbour Orthodontics — Momentum 2 seats,44893,2025-09-14,harbourorthodontics2206.com,Momentum,Revenue Cycle / Billing,2,27,2025-10-05,
Highpoint Dental Alliance — Summit embed,32007,2025-01-02,highpointdentalalliance.com,Summit,Office Management;Revenue Cycle / Billing,1,28,2025-01-13,
Thornbury Dental Studio — Momentum embed,25772,2026-09-13,thornburydentalstudio8204.com,Momentum,Insurance Verification;Practice Marketing,1,31,,
Tarrant Sleep Medicine — Core embed,17459,2026-10-26,tarrantsleepmedicine3337.com,Core,Insurance Verification;Patient Scheduling,1,28,,Client paused decision
Harbour Smile Dentistry — Core 2 seats,41152,2026-10-02,harboursmiledentistry9977.com,Core,Patient Scheduling;Recall & Reactivation,2,33,,Coverage hours mismatch
Ellswood Dental Care — Momentum embed,27435,2026-11-16,ellswooddentalcare7336.com,Momentum,Insurance Verification;Recall & Reactivation,1,33,,
Silverbrook Family Dentistry Group — Core embed,14341,2026-09-08,silverbrookfamilydentistrygr6685.com,Core,Records & Charting Support;Insurance Verification,1,23,,
Ridgeway Dental Alliance — Summit embed,37723,2025-07-24,ridgewaydentalalliance.com,Summit,Claims & AR Follow-up,1,33,,
Bramwell Dental Associates — Momentum 3 seats,84799,2026-02-15,bramwelldentalassociates1068.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,3,34,2026-03-11,
Clearwater Orthodontics — Momentum embed,26604,2026-09-09,clearwaterorthodontics999.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,32,,
Granville Smile Partners — Momentum 2 seats,51544,2026-10-08,granvillesmilepartners2583.com,Momentum,Patient Scheduling;Practice Marketing,2,31,,
Alder Creek Dental Group — Summit embed,32007,2026-02-06,aldercreekdentalgroup5647.com,Summit,Office Management,1,28,2026-03-02,
Lakeshore Surgical Arts — Summit 2 seats,50297,2025-08-30,lakeshoresurgicalarts4737.com,Summit,Office Management;Revenue Cycle / Billing,2,22,2025-09-25,
Glenwood Dentistry — Momentum embed,16627,2026-11-17,glenwooddentistry5197.com,Momentum,Revenue Cycle / Billing,1,20,,
Harbour Dental Group — Momentum 2 seats,36580,2026-12-07,harbourdentalgroup5560.com,Momentum,Treatment Coordination,2,22,,Practice software gap
Redwood Dentistry — Core embed,21200,2026-07-31,redwooddentistry758.com,Core,Insurance Verification,1,34,,
Belmont Oral Surgery Associates — Momentum 2 seats,51544,2026-09-24,belmontoralsurgeryassociates5299.com,Momentum,Recall & Reactivation;Practice Marketing,2,31,,
Windsor Dentistry — Core 2 seats,41152,2026-05-10,windsordentistry.com,Core,Front Office / Patient Comms;Recall & Reactivation,2,33,2026-05-25,
Ellswood Dental Studio — Core embed,19329,2026-10-02,ellswooddentalstudio2936.com,Core,Front Office / Patient Comms;Patient Scheduling,1,31,,Specialty experience
Pinehurst Dental Care Group — Momentum embed,17459,2026-11-10,pinehurstdentalcaregroup9044.com,Momentum,Practice Marketing;Recall & Reactivation,1,21,,
Wexford Dentistry — Core embed,18082,2026-06-20,wexforddentistry.com,Core,Insurance Verification;Records & Charting Support,1,29,2026-07-17,
Lakeshore Dental Partners — Core embed,15588,2025-06-19,lakeshoredentalpartners8479.com,Core,Front Office / Patient Comms;Records & Charting Support,1,25,2025-07-08,
Thornbury Braces & Aligners — Summit embed,30864,2026-06-21,thornburybracesaligners9589.com,Summit,Claims & AR Follow-up;Revenue Cycle / Billing,1,27,,
Nortonville Smile Dentistry — Momentum embed,15796,2026-01-16,nortonvillesmiledentistry.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,19,,
Sinclair Braces & Aligners — Momentum 2 seats,43231,2026-08-30,sinclairbracesaligners3505.com,Momentum,Recall & Reactivation;Practice Marketing,2,26,,
Meridian Kids Dental Care — Momentum 3 seats,69834,2026-05-01,meridiankidsdentalcare2077.com,Momentum,Insurance Verification;Practice Marketing,3,28,2026-05-23,
Brookvale Orthodontic Specialists — Core embed,14964,2025-04-25,brookvaleorthodonticspeciali2283.com,Core,Insurance Verification;Records & Charting Support,1,24,2025-05-08,
Maplewood Dental Care — Momentum embed,15796,2026-10-24,maplewooddentalcare941.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,19,,
Ridgeway Periodontics — Core embed,9976,2025-11-12,ridgewayperiodontics4912.com,Core,Insurance Verification,1,16,,
Kingsley Dental Associates — Momentum 2 seats,58195,2025-07-30,kingsleydentalassociates4038.com,Momentum,Recall & Reactivation;Insurance Verification,2,35,2025-08-07,
Cavendish Smile Dentistry — Momentum 2 seats,59858,2025-05-15,cavendishsmiledentistry2529.com,Momentum,Practice Marketing;Patient Scheduling,2,36,2025-06-06,
Beacon Dental Collective — Core 2 seats,37411,2026-04-30,beacondentalcollective.com,Core,Records & Charting Support;Patient Scheduling,2,30,2026-05-26,
Silverbrook Orthodontic Specialists — Core embed,15588,2026-09-07,silverbrookorthodonticspecia3160.com,Core,Front Office / Patient Comms;Records & Charting Support,1,25,,
Redwood Orthodontic Specialists — Core embed,19329,2026-03-10,redwoodorthodonticspecialist6113.com,Core,Insurance Verification;Records & Charting Support,1,31,,Client paused decision
Hollis Dental Partners — Summit embed,40009,2026-10-13,hollisdentalpartners1833.com,Summit,Office Management,1,35,,
Oakhurst Orthodontic Group — Core 3 seats,69211,2025-12-27,oakhurstorthodonticgroup5340.com,Core,Front Office / Patient Comms;Recall & Reactivation,3,37,2026-01-11,
Hollis Pediatric Dentistry — Momentum embed,23278,2026-10-24,hollispediatricdentistry7574.com,Momentum,Patient Scheduling;Recall & Reactivation,1,28,,
Lakeshore Smile Dentistry — Summit embed,30864,2025-10-15,lakeshoresmiledentistry6371.com,Summit,Operations Leadership,1,27,,
Harbour Braces & Aligners — Core embed,18082,2025-07-20,harbourbracesaligners9661.com,Core,Patient Scheduling;Insurance Verification,1,29,,Rate
Highpoint Smile Dentistry — Momentum embed,17459,2025-06-27,highpointsmiledentistry3701.com,Momentum,Practice Marketing;Patient Scheduling,1,21,,
Riverstone Family Dentistry Group — Momentum 2 seats,53207,2026-01-16,riverstonefamilydentistrygro8491.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,2,32,2026-02-05,
Riverstone Oral Surgery Associates — Core embed,21823,2026-11-22,riverstoneoralsurgeryassocia.com,Core,Records & Charting Support,1,35,,
Tarrant Dentistry — Core embed,19953,2025-10-08,tarrantdentistry6564.com,Core,Recall & Reactivation;Records & Charting Support,1,32,2025-10-18,
Redwood Root Canal Specialists — Core 3 seats,52376,2025-12-30,redwoodrootcanalspecialists.com,Core,Insurance Verification,3,28,,
Meridian Dental Care Group — Momentum embed,25772,2026-09-23,meridiandentalcaregroup3121.com,Momentum,Practice Marketing;Treatment Coordination,1,31,,
Kingsley Orthodontic Specialists — Momentum 2 seats,46556,2025-06-10,kingsleyorthodonticspecialis6390.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,2,28,2025-06-22,
Bayview Dental Group — Momentum 3 seats,72328,2025-11-08,bayviewdentalgroup.com,Momentum,Treatment Coordination;Insurance Verification,3,29,,
Draycott Orthodontic Specialists — Summit embed,29721,2026-10-30,draycottorthodonticspecialis6847.com,Summit,Office Management;Claims & AR Follow-up,1,26,,Client paused decision
Pinehurst Orthodontics — Core embed,20576,2026-08-28,pinehurstorthodontics.com,Core,Records & Charting Support;Insurance Verification,1,33,,
Camden Root Canal Specialists — Core embed,18082,2026-09-06,camdenrootcanalspecialists1712.com,Core,Insurance Verification;Recall & Reactivation,1,29,,
Granville Dental Care Group — Core embed,20576,2026-08-20,granvilledentalcaregroup9830.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,33,,
Windsor Dental Associates — Momentum embed,29929,2026-07-10,windsordentalassociates8210.com,Momentum,Insurance Verification;Treatment Coordination,1,36,2026-07-19,
Fairmont Root Canal Specialists — Momentum embed,27435,2025-12-19,fairmontrootcanalspecialists1930.com,Momentum,Revenue Cycle / Billing;Recall & Reactivation,1,33,2026-01-11,
Fairmont Orthodontic Group — Momentum embed,20784,2026-09-06,fairmontorthodonticgroup5732.com,Momentum,Patient Scheduling,1,25,,Specialty experience
Maplewood Dental Associates — Momentum embed,24109,2026-10-08,maplewooddentalassociates.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,29,,Practice software gap
Foxfield Dental Collective — Core embed,20576,2026-09-18,foxfielddentalcollective2068.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,33,,Practice software gap
Bayview Braces & Aligners — Core embed,19329,2026-04-26,bayviewbracesaligners4933.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,31,,
Fairmont Smile Dentistry — Momentum embed,28266,2026-10-20,fairmontsmiledentistry.com,Momentum,Insurance Verification,1,34,,
Silverbrook Kids Dental Care — Core embed,17459,2025-12-28,silverbrookkidsdentalcare2560.com,Core,Recall & Reactivation,1,28,,
Alder Creek Dental Group — Core embed,18082,2026-08-16,aldercreekdentalgroup5647.com,Core,Recall & Reactivation,1,29,,
Fieldstone Rehab Associates — Momentum embed,18290,2026-04-20,fieldstonerehabassociates8269.com,Momentum,Recall & Reactivation,1,22,,Specialty experience
Kingsley Family Dental — Momentum embed,21615,2026-01-07,kingsleyfamilydental7002.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,26,2026-02-02,
Windsor Periodontal Specialists — Momentum embed,24109,2025-09-04,windsorperiodontalspecialist4897.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,29,,
Northline Orthodontic Group — Core embed,16835,2026-10-04,northlineorthodonticgroup6397.com,Core,Insurance Verification;Patient Scheduling,1,27,,
Windsor Family Dental — Core embed,14341,2026-11-27,windsorfamilydental5461.com,Core,Records & Charting Support;Insurance Verification,1,23,,Practice software gap
Everly Root Canal Specialists — Core embed,12470,2026-07-29,everlyrootcanalspecialists.com,Core,Patient Scheduling;Insurance Verification,1,20,2026-08-21,
Belmont Oral Surgery Associates — Momentum 2 seats,58195,2026-08-13,belmontoralsurgeryassociates.com,Momentum,Treatment Coordination;Practice Marketing,2,35,,
Ridgeway Oral Surgery Associates — Momentum embed,29929,2026-03-02,ridgewayoralsurgeryassociate.com,Momentum,Practice Marketing,1,36,2026-03-19,
Ashford Pediatric Dentistry — Core embed,18082,2026-08-29,ashfordpediatricdentistry.com,Core,Records & Charting Support;Patient Scheduling,1,29,,
Ashford Family Dental — Momentum embed,29929,2025-05-08,ashfordfamilydental.com,Momentum,Practice Marketing;Patient Scheduling,1,36,,
Lakeshore Dental Associates — Summit embed,33150,2026-11-14,lakeshoredentalassociates5038.com,Summit,Operations Leadership;Claims & AR Follow-up,1,29,,Rate
Oakhurst Periodontal Specialists — Core embed,16835,2026-01-16,oakhurstperiodontalspecialis9074.com,Core,Records & Charting Support,1,27,2026-02-11,
Bayview Sports Rehab — Momentum embed,19953,2025-01-09,bayviewsportsrehab91.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,24,2025-01-20,
Sinclair Family Dentistry Group — Momentum embed,27435,2025-02-18,sinclairfamilydentistrygroup1902.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,33,2025-03-07,
Hollis Dental Care — Core 2 seats,33670,2026-07-30,hollisdentalcare4413.com,Core,Patient Scheduling;Records & Charting Support,2,27,2026-08-16,
Camden Dental Care Group — Momentum embed,22447,2026-11-08,camdendentalcaregroup2174.com,Momentum,Practice Marketing;Treatment Coordination,1,27,,Specialty experience
Everly Dentistry — Core embed,18706,2026-08-15,everlydentistry3352.com,Core,Patient Scheduling;Insurance Verification,1,30,,Coverage hours mismatch
Northline Family Dentistry Group — Momentum 3 seats,42399,2025-07-21,northlinefamilydentistrygrou7222.com,Momentum,Treatment Coordination;Patient Scheduling,3,17,,Communication style
Maplewood Dental Care — Core embed,16835,2026-08-16,maplewooddentalcare7036.com,Core,Patient Scheduling,1,27,,
Summit Ridge Dental Group — Core 2 seats,32423,2026-12-06,summitridgedentalgroup559.com,Core,Front Office / Patient Comms,2,26,,
Camden Endodontic Associates — Core embed,19953,2026-02-03,camdenendodonticassociates.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,32,2026-02-19,
Beacon Dental Associates — Momentum 2 seats,44893,2026-05-19,beacondentalassociates.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,2,27,2026-06-16,
Ellswood Periodontal Specialists — Core embed,19953,2026-11-30,ellswoodperiodontalspecialis.com,Core,Insurance Verification;Patient Scheduling,1,32,,
Pinehurst Orthodontic Specialists — Momentum embed,20784,2026-11-08,pinehurstorthodonticspeciali4343.com,Momentum,Treatment Coordination,1,25,,
Cedar Point Family Dentistry Group — Summit embed,40009,2025-10-16,cedarpointfamilydentistrygro8212.com,Summit,Operations Leadership;Claims & AR Follow-up,1,35,2025-11-05,
Silverbrook Dental Care — Summit embed,34294,2026-09-16,silverbrookdentalcare2386.com,Summit,Operations Leadership;Office Management,1,30,,Specialty experience
Cedar Point Periodontics — Momentum embed,19953,2025-05-27,cedarpointperiodontics8369.com,Momentum,Recall & Reactivation;Claims & AR Follow-up,1,24,,
Draycott Dental Care Group — Core embed,17459,2025-03-08,draycottdentalcaregroup1672.com,Core,Insurance Verification;Front Office / Patient Comms,1,28,2025-04-03,
Sinclair Dental Care — Momentum embed,20784,2025-09-09,sinclairdentalcare6459.com,Momentum,Insurance Verification;Revenue Cycle / Billing,1,25,2025-10-03,
Cedar Point Surgical Arts — Momentum embed,21615,2026-09-02,cedarpointsurgicalarts2831.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,26,,
Wynn Family Dental — Momentum embed,19953,2026-08-21,wynnfamilydental1532.com,Momentum,Claims & AR Follow-up;Practice Marketing,1,24,,
Windsor Orthodontic Specialists — Core embed,17459,2026-02-09,windsororthodonticspecialist3204.com,Core,Insurance Verification,1,28,2026-02-18,
Fairmont Dental Alliance — Momentum embed,32423,2025-10-18,fairmontdentalalliance.com,Momentum,Practice Marketing;Claims & AR Follow-up,1,39,2025-11-12,
Nortonville Dental Group — Momentum embed,19953,2026-07-03,nortonvilledentalgroup2852.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,24,2026-07-14,
Glenwood Orthodontic Specialists — Core embed,13717,2025-07-28,glenwoodorthodonticspecialis1742.com,Core,Front Office / Patient Comms;Patient Scheduling,1,22,,Practice software gap
Belmont Rehab Associates — Summit embed,33150,2026-03-02,belmontrehabassociates.com,Summit,Operations Leadership;Claims & AR Follow-up,1,29,,Specialty experience
Fieldstone Smile Partners — Core embed,12470,2026-08-27,fieldstonesmilepartners6125.com,Core,Front Office / Patient Comms;Patient Scheduling,1,20,,
Maplewood Pediatric Dentistry — Summit 2 seats,70873,2026-03-21,maplewoodpediatricdentistry3414.com,Summit,Revenue Cycle / Billing;Office Management,2,31,2026-04-18,
Lockhart Oral & Maxillofacial Surgery — Momentum embed,28266,2025-08-04,lockhartoralmaxillofacialsur7683.com,Momentum,Insurance Verification;Treatment Coordination,1,34,,
Maplewood Periodontics — Momentum embed,29929,2026-12-07,maplewoodperiodontics.com,Momentum,Recall & Reactivation,1,36,,
Nortonville Dental Associates — Momentum embed,21615,2026-11-04,nortonvilledentalassociates.com,Momentum,Practice Marketing;Claims & AR Follow-up,1,26,,
Brookvale Dental Group — Core 2 seats,37411,2026-10-28,brookvaledentalgroup3734.com,Core,Insurance Verification;Patient Scheduling,2,30,,Practice software gap
Bayview Dentistry — Core 3 seats,43023,2026-10-01,bayviewdentistry5853.com,Core,Front Office / Patient Comms,3,23,,
Harbour Oral Surgery Associates — Core embed,19329,2026-09-29,harbouroralsurgeryassociates.com,Core,Records & Charting Support,1,31,,
Summit Ridge Dental Associates — Momentum embed,28266,2026-11-29,summitridgedentalassociates4432.com,Momentum,Practice Marketing;Treatment Coordination,1,34,,Specialty experience
Harbour Dental Associates — Summit 3 seats,89163,2025-05-30,harbourdentalassociates.com,Summit,Claims & AR Follow-up,3,26,2025-06-23,
Northline Braces & Aligners — Core embed,23070,2026-10-02,northlinebracesaligners5523.com,Core,Recall & Reactivation;Patient Scheduling,1,37,,
Brookvale Dental Partners — Momentum 2 seats,54870,2025-03-19,brookvaledentalpartners5300.com,Momentum,Recall & Reactivation;Insurance Verification,2,33,,
Kingsley Dental Alliance — Momentum 2 seats,26604,2026-12-02,kingsleydentalalliance.com,Momentum,Recall & Reactivation;Claims & AR Follow-up,2,16,,Coverage hours mismatch
Draycott Dental Collective — Core 3 seats,43023,2026-11-28,draycottdentalcollective3590.com,Core,Recall & Reactivation;Insurance Verification,3,23,,
Bramwell Dental Care Group — Momentum embed,27435,2026-11-13,bramwelldentalcaregroup8321.com,Momentum,Revenue Cycle / Billing,1,33,,
